CustomerID,Quantity,InvoiceNo,TotalPurchase
12346.0,0,2,0.0
12347.0,2458,182,4310.000000000001
12348.0,2341,31,1797.24
12349.0,631,73,1757.5500000000002
12350.0,197,17,334.40000000000003
12352.0,470,95,1545.4100000000005
12353.0,20,4,89.0
12354.0,530,58,1079.3999999999999
12355.0,240,13,459.4
12356.0,1591,59,2811.43
12357.0,2708,131,6207.67
12358.0,248,19,1168.06
12359.0,1612,254,6245.529999999999
12360.0,1165,129,2662.06
12361.0,91,10,189.89999999999998
12362.0,2212,274,5154.58
12363.0,408,23,552.0
12364.0,1506,85,1313.1000000000001
12365.0,173,23,320.68999999999994
12367.0,173,11,168.89999999999998
12370.0,2353,167,3545.6899999999996
12371.0,591,63,1887.96
12372.0,794,52,1298.0400000000002
12373.0,197,14,364.6
12374.0,342,33,742.93
12375.0,177,18,455.42
12377.0,944,77,1628.12
12378.0,2529,219,4008.62
12379.0,406,41,850.29
12380.0,1126,105,2720.56
12381.0,783,91,1803.96
12383.0,1529,100,1839.3100000000002
12384.0,121,30,566.16
12386.0,354,10,401.9
12388.0,1462,100,2780.6600000000003
12390.0,353,32,549.84
12391.0,300,100,460.89
12393.0,816,64,1582.6000000000001
12394.0,819,27,1272.48
12395.0,2113,159,2998.28
12397.0,1263,126,2409.9000000000005
12398.0,1394,85,1635.6599999999999
12399.0,1178,59,1108.65
12401.0,11,5,84.3
12402.0,94,11,225.6
12403.0,95,6,409.7
12405.0,857,54,1710.3900000000003
12406.0,1809,108,3280.7500000000005
12407.0,1416,77,1708.1199999999997
12408.0,1399,113,2842.57
12409.0,5543,114,11056.93
12410.0,209,28,681.0799999999999
12412.0,829,61,1226.88
12413.0,282,40,694.1500000000001
12414.0,300,18,562.41
12415.0,77242,778,123725.45000000001
12417.0,1539,198,3578.8
12418.0,407,34,668.58
12420.0,345,29,600.3900000000001
12421.0,483,46,806.2700000000001
12422.0,370,39,803.5599999999998
12423.0,1327,126,1849.1100000000001
12424.0,740,30,1760.9599999999996
12425.0,496,36,777.1999999999999
12426.0,258,30,582.73
12427.0,236,35,708.37
12428.0,3503,300,7877.2
12429.0,1557,97,3750.4
12430.0,117,11,256.4
12431.0,2868,240,6416.389999999999
12432.0,1801,108,5059.319999999999
12433.0,11071,420,13375.87
12434.0,373,54,765.1899999999999
