InvoiceDate,CustomerID,Quantity,InvoiceNo,TotalPurchase
2010-01-12 08:26:00,17850.0,40,7,139.12
2010-01-12 08:28:00,17850.0,12,2,22.200000000000003
2010-01-12 08:34:00,13047.0,98,16,348.78
2010-01-12 08:35:00,13047.0,3,1,17.85
2010-01-12 08:45:00,12583.0,449,20,855.86
2010-01-12 09:00:00,13748.0,80,1,204.0
2010-01-12 09:01:00,17850.0,12,2,22.200000000000003
2010-01-12 09:02:00,17850.0,88,16,259.86
2010-01-12 09:09:00,15100.0,32,1,350.4
2010-01-12 09:32:00,15291.0,112,2,328.8
2010-01-12 09:32:00,17850.0,88,16,259.86
2010-01-12 09:34:00,17850.0,12,2,22.200000000000003
2010-01-12 09:37:00,14688.0,454,19,444.98
2010-01-12 09:41:00,14527.0,-1,1,-27.5
2010-01-12 09:41:00,15311.0,198,35,449.9800000000001
2010-01-12 09:41:00,17809.0,24,1,34.8
2010-01-12 09:45:00,16098.0,134,12,430.59999999999997
2010-01-12 09:49:00,15311.0,-1,1,-4.65
2010-01-12 09:53:00,18074.0,190,13,489.6
2010-01-12 09:56:00,17420.0,53,7,130.85
2010-01-12 09:57:00,16029.0,236,3,508.20000000000005
2010-01-12 09:58:00,16029.0,1440,5,3193.92
2010-01-12 09:59:00,16250.0,108,14,226.14
2010-01-12 10:03:00,12431.0,107,14,358.25
2010-01-12 10:19:00,17511.0,1568,24,1825.74
2010-01-12 10:24:00,17548.0,-132,7,-141.48000000000002
2010-01-12 10:29:00,13705.0,103,10,318.14000000000004
2010-01-12 10:37:00,13747.0,8,1,79.6
2010-01-12 10:39:00,13408.0,544,11,1024.6800000000003
2010-01-12 10:47:00,13767.0,260,14,507.88000000000005
2010-01-12 10:51:00,17850.0,102,18,376.36
2010-01-12 10:51:00,17924.0,60,2,279.0
2010-01-12 10:52:00,13448.0,150,17,426.56000000000006
2010-01-12 10:52:00,17850.0,12,2,22.200000000000003
2010-01-12 10:53:00,13448.0,12,1,17.4
2010-01-12 11:21:00,15862.0,124,64,354.22999999999996
2010-01-12 11:22:00,15513.0,116,3,357.0
2010-01-12 11:27:00,12791.0,97,2,192.60000000000002
2010-01-12 11:29:00,16218.0,438,28,471.30000000000007
2010-01-12 11:32:00,14045.0,128,1,326.4
2010-01-12 11:33:00,17850.0,96,17,353.14
2010-01-12 11:34:00,17850.0,12,2,22.200000000000003
2010-01-12 11:41:00,14307.0,558,48,783.1099999999999
2010-01-12 11:45:00,17908.0,173,58,243.27999999999997
2010-01-12 11:49:00,17920.0,220,81,514.41
2010-01-12 11:57:00,12838.0,228,59,390.78999999999996
2010-01-12 11:58:00,13255.0,110,6,225.7
2010-01-12 12:03:00,16583.0,111,14,233.45000000000002
2010-01-12 12:08:00,13758.0,137,17,362.44999999999993
2010-01-12 12:08:00,18085.0,78,9,303.90000000000003
2010-01-12 12:12:00,13694.0,1004,6,842.12
2010-01-12 12:15:00,15983.0,329,32,440.89
2010-01-12 12:22:00,14849.0,170,15,312.93999999999994
2010-01-12 12:23:00,14849.0,18,2,42.9
2010-01-12 12:23:00,17968.0,160,85,277.35
2010-01-12 12:27:00,16210.0,1070,14,2474.7399999999993
2010-01-12 12:31:00,17897.0,72,35,165.88999999999996
2010-01-12 12:35:00,17377.0,102,15,223.89999999999998
2010-01-12 12:36:00,16552.0,39,5,95.29
2010-01-12 12:38:00,17181.0,216,2,155.52
2010-01-12 12:38:00,17897.0,-6,1,-25.5
2010-01-12 12:40:00,17951.0,118,5,295.50000000000006
2010-01-12 12:43:00,14729.0,197,71,313.49000000000007
2010-01-12 12:48:00,12748.0,1,1,4.95
2010-01-12 12:49:00,15012.0,86,54,191.05999999999997
2010-01-12 12:50:00,12868.0,112,12,203.29999999999998
2010-01-12 12:51:00,17572.0,24,4,70.80000000000001
2010-01-12 12:54:00,14078.0,29,13,136.24
2010-01-12 12:58:00,14001.0,94,9,301.24
2010-01-12 13:04:00,12662.0,157,15,261.48
2010-01-12 13:17:00,15525.0,124,57,313.93
2010-01-12 13:20:00,14237.0,38,9,161.00000000000003
2010-01-12 13:21:00,17905.0,72,23,201.74999999999994
2010-01-12 13:23:00,15485.0,416,23,950.0899999999999
2010-01-12 13:24:00,12433.0,1852,73,1919.1399999999999
2010-01-12 13:31:00,16955.0,80,6,156.09999999999997
2010-01-12 13:33:00,15350.0,51,5,115.65
2010-01-12 13:38:00,15605.0,71,12,194.85000000000002
2010-01-12 13:45:00,18144.0,95,3,165.04999999999998
2010-01-12 13:51:00,15922.0,138,11,369.50000000000006
2010-01-12 13:54:00,14594.0,146,31,254.99999999999997
2010-01-12 14:03:00,15165.0,160,27,487.75
2010-01-12 14:05:00,14911.0,243,21,555.3799999999999
2010-01-12 14:11:00,16456.0,392,16,787.4
2010-01-12 14:30:00,17841.0,-3,2,-3.8
2010-01-12 14:33:00,12472.0,-40,14,-122.3
2010-01-12 14:34:00,17346.0,88,35,146.60999999999999
2010-01-12 14:38:00,17643.0,71,8,101.55
2010-01-12 14:41:00,17841.0,199,65,537.3800000000001
2010-01-12 14:54:00,17873.0,129,9,215.14999999999998
2010-01-12 15:00:00,13093.0,256,13,799.4
2010-01-12 15:06:00,12921.0,140,15,322.4
2010-01-12 15:08:00,13468.0,111,20,360.05000000000007
2010-01-12 15:08:00,17760.0,165,9,172.54
2010-01-12 15:21:00,16928.0,93,6,116.25
2010-01-12 15:27:00,16048.0,132,7,251.40000000000003
2010-01-12 15:28:00,16048.0,12,1,5.04
2010-01-12 15:35:00,14496.0,86,5,304.34000000000003
2010-01-12 15:35:00,16274.0,155,67,357.94999999999993
2010-01-12 15:37:00,14696.0,284,18,294.61999999999995
2010-01-12 15:40:00,16539.0,301,21,442.35
2010-01-12 15:45:00,17025.0,136,4,143.12
2010-01-12 15:46:00,17025.0,3,1,17.85
2010-01-12 16:01:00,13777.0,858,8,1552.98
2010-01-12 16:11:00,13777.0,1122,16,2558.42
2010-01-12 16:13:00,13777.0,388,4,497.0
2010-01-12 16:15:00,17690.0,104,8,279.6
2010-01-12 16:16:00,13777.0,276,2,315.96000000000004
2010-01-12 16:17:00,17690.0,66,6,97.2
2010-01-12 16:19:00,13777.0,200,1,330.0
2010-01-12 16:21:00,12947.0,184,17,304.03999999999996
2010-01-12 16:21:00,13777.0,120,1,198.0
2010-01-12 16:22:00,13777.0,384,1,1132.8000000000002
2010-01-12 16:24:00,17460.0,2,1,19.9
2010-01-12 16:25:00,18229.0,44,7,344.2
2010-01-12 16:33:00,14142.0,313,22,311.81
2010-01-12 16:49:00,17069.0,103,11,277.05
